1,10,25,40,50,100,200,400,800,1600,profile,role,vendor,best_module,solution_linecards,solution_cost
0,0,0,0,0,32,0,0,0,0,cloud_50g,spine,cisco,9516,['N9K-X9732C-EX'],9919.48152
0,0,0,0,0,0,20,8,2,0,ai_gpu,edge,cisco,HF6100-64ED,['HF6100-64ED'],182311.8737
0,0,16,0,0,0,0,0,0,0,enterprise,spine,cisco,9400,['N9K-X9400-22L'],3232.53931
0,0,0,0,0,0,10,2,0,0,cloud,edge,cisco,9400,"['N9K-X9400-16W', 'N9K-X9400-8D']",19838.96304
0,0,0,0,0,0,0,40,0,0,cloud,spine,cisco,9400,"['N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D']",49597.4076
0,0,0,0,0,50,0,0,0,0,cloud,leaf,cisco,N9K-C93600CD-GX,['N9K-C93600CD-GX'],19192.88709
0,0,0,0,66,6,0,4,0,0,cloud,tor,cisco,N9K-C9316D-GX,['N9K-C9316D-GX'],20538.58256
0,32,0,0,0,4,0,0,0,0,enterprise,leaf,cisco,93108TC-FX3P,['93108TC-FX3P'],3170.855409
0,0,0,0,0,46,0,8,0,0,ai_gpu,edge,cisco,9516,"['N9K-X9732C-EX', 'N9K-X9716D-GX']",30458.064079999996
0,0,0,0,0,30,0,0,0,0,cloud,spine,cisco,9516,['N9K-X9732C-EX'],9919.48152
0,0,0,0,30,0,8,0,0,0,cloud,leaf,cisco,9400,"['N9K-X9400-22L', 'N9K-X9400-16W', 'N9K-X9400-22L']",16384.56014
0,0,22,0,0,2,0,2,0,0,enterprise,tor,cisco,HF6100-60L4D,['HF6100-60L4D'],14520.35448
0,0,0,0,0,16,0,6,0,0,cloud,leaf,cisco,N9K-C93600CD-GX,['N9K-C93600CD-GX'],19192.88709
0,0,0,0,0,0,66,0,12,0,ai_gpu,leaf,cisco,,[],
0,0,0,0,0,0,0,58,0,0,ai_gpu,spine,cisco,9400,"['N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D']",79355.85216
0,0,0,0,0,0,0,50,0,0,ai_gpu,spine,cisco,9400,"['N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D']",69436.37064
0,0,0,0,0,30,0,10,0,0,ai_gpu,edge,cisco,9808,['N9K-X98900CD-A'],29378.94055
0,0,0,0,0,44,0,6,4,0,ai_gpu,edge,cisco,HF6100-64ED,['HF6100-64ED'],182311.8737
0,0,0,0,0,0,0,28,6,0,cloud,edge,cisco,HF6100-64ED,['HF6100-64ED'],182311.8737
0,0,0,0,26,0,6,0,0,0,cloud_50g,edge,cisco,9400,"['N9K-X9400-22L', 'N9K-X9400-16W', 'N9K-X9400-22L']",16384.56014
0,0,0,0,0,48,0,14,0,0,cloud,tor,cisco,9332D-GX2B,['9332D-GX2B'],42595.51975
0,0,72,0,0,4,0,2,0,0,enterprise,tor,cisco,N9K-C93600CD-GX,['N9K-C93600CD-GX'],19192.88709
0,0,0,0,12,2,0,0,0,0,enterprise,leaf,cisco,93180LC-EX,['93180LC-EX'],3541.781815
0,0,0,0,0,0,0,0,8,0,ai_gpu,spine,cisco,HF6100-64ED,['HF6100-64ED'],182311.8737
0,0,0,0,2,2,0,0,0,0,enterprise,edge,cisco,93180LC-EX,['93180LC-EX'],3541.781815
0,0,0,0,0,0,44,0,0,0,cloud,spine,cisco,9400,"['N9K-X9400-16W', 'N9K-X9400-16W', 'N9K-X9400-16W']",29758.444559999996
0,0,0,0,0,0,0,48,0,0,enterprise,spine,cisco,9400,"['N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D']",59516.88912
0,0,0,0,0,0,42,4,8,0,ai_gpu,edge,cisco,HF6100-64ED,['HF6100-64ED'],182311.8737
0,0,0,0,0,0,0,44,12,0,ai_gpu,tor,cisco,HF6100-64ED,['HF6100-64ED'],182311.8737
0,0,54,0,0,0,0,6,0,0,cloud,leaf,cisco,N9K-C93600CD-GX,['N9K-C93600CD-GX'],19192.88709
0,0,0,0,38,2,0,6,0,0,ai_gpu,edge,cisco,N9K-C93600CD-GX,['N9K-C93600CD-GX'],19192.88709
0,0,0,0,0,30,8,0,0,0,cloud,edge,cisco,N9K-C9316D-GX,['N9K-C9316D-GX'],20538.58256
0,0,0,0,0,0,48,6,4,0,ai_gpu,edge,cisco,HF6100-64ED,['HF6100-64ED'],182311.8737
0,0,0,0,0,0,0,24,0,0,cloud,spine,cisco,9400,"['N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D']",29758.444559999996
0,0,0,0,0,28,14,0,0,0,cloud_50g,edge,cisco,N9K-C9316D-GX,['N9K-C9316D-GX'],20538.58256
0,0,0,0,12,6,0,0,0,0,cloud_50g,tor,cisco,93180LC-EX,['93180LC-EX'],3541.781815
0,0,0,0,66,14,6,0,0,0,cloud_50g,leaf,cisco,N9K-C9316D-GX,['N9K-C9316D-GX'],20538.58256
0,0,0,0,0,60,4,16,0,0,cloud,tor,cisco,9364D-GX2A,['9364D-GX2A'],88123.0616
0,0,0,0,0,0,0,40,38,0,ai_gpu,tor,cisco,,[],
0,42,6,0,0,4,0,0,0,0,enterprise,tor,cisco,9516,['N9K-X96136YC-R'],4039.218523
0,0,34,0,0,10,0,0,0,0,enterprise,edge,cisco,93240YC-FX2,['93240YC-FX2'],7333.364963
0,0,0,0,0,0,0,32,0,0,ai_gpu,spine,cisco,9400,"['N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D']",39677.92608
0,0,0,0,0,0,0,54,8,0,cloud,tor,cisco,HF6100-64ED,['HF6100-64ED'],182311.8737
0,0,0,0,0,0,38,0,6,0,cloud,leaf,cisco,HF6100-64ED,['HF6100-64ED'],182311.8737
0,0,0,0,0,128,0,0,0,0,cloud_50g,spine,cisco,9516,"['N9K-X9732C-EX', 'N9K-X9732C-EX', 'N9K-X9732C-EX', 'N9K-X9732C-EX']",39677.92608
0,0,0,0,0,0,0,0,10,0,ai_gpu,leaf,cisco,HF6100-64ED,['HF6100-64ED'],182311.8737
0,0,0,0,24,6,0,0,0,0,cloud_50g,tor,cisco,9516,['N9K-X9732C-EX'],9919.48152
0,0,0,0,0,52,6,10,0,0,cloud,tor,cisco,9332D-GX2B,['9332D-GX2B'],42595.51975
0,0,0,0,0,0,0,16,0,0,ai_gpu,leaf,cisco,9400,"['N9K-X9400-8D', 'N9K-X9400-8D']",19838.96304
0,0,0,0,64,0,16,0,0,0,cloud_50g,tor,cisco,9400,"['N9K-X9400-22L', 'N9K-X9400-22L', 'N9K-X9400-16W', 'N9K-X9400-22L']",19617.09945
0,0,0,0,0,0,0,0,0,8,ai_gpu,spine,cisco,,[],
0,0,0,0,0,0,0,56,0,0,ai_gpu,leaf,cisco,9400,"['N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D']",69436.37064
0,0,0,0,0,24,4,0,0,0,cloud,edge,cisco,N9K-C9316D-GX,['N9K-C9316D-GX'],20538.58256
0,0,0,0,0,32,0,4,4,0,ai_gpu,edge,cisco,HF6100-64ED,['HF6100-64ED'],182311.8737
0,0,0,0,0,0,0,48,0,0,enterprise,spine,cisco,9400,"['N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D']",59516.88912
0,0,0,0,0,66,0,0,0,0,enterprise,leaf,cisco,9516,"['N9K-X9732C-EX', 'N9K-X9732C-EX', 'N9K-X96136YC-R']",23878.181563
0,0,0,0,0,78,0,0,0,0,enterprise,spine,cisco,9516,"['N9K-X9732C-EX', 'N9K-X9732C-EX', 'N9K-X9732C-EX']",29758.444559999996
0,0,0,0,36,6,12,0,0,0,cloud_50g,leaf,cisco,N9K-C9316D-GX,['N9K-C9316D-GX'],20538.58256
0,0,0,0,0,50,0,0,0,0,cloud,spine,cisco,N9K-C93600CD-GX,['N9K-C93600CD-GX'],19192.88709
0,62,0,0,2,6,0,0,0,0,enterprise,tor,cisco,9336C-FX2,['9336C-FX2'],11225.33011
0,0,0,0,0,26,10,0,0,0,cloud_50g,edge,cisco,N9K-C9316D-GX,['N9K-C9316D-GX'],20538.58256
0,0,0,0,14,4,0,0,0,0,cloud_50g,tor,cisco,93180LC-EX,['93180LC-EX'],3541.781815
0,0,0,0,0,0,60,28,0,0,cloud,leaf,cisco,9400,"['N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-16W', 'N9K-X9400-16W', 'N9K-X9400-16W', 'N9K-X9400-16W', 'N9K-X9400-8D']",79355.85216
0,0,52,0,0,0,2,0,0,0,enterprise,leaf,cisco,HF6100-60L4D,['HF6100-60L4D'],14520.35448
0,0,0,0,0,0,0,36,22,0,ai_gpu,leaf,cisco,HF6100-64ED,['HF6100-64ED'],182311.8737
0,0,0,0,0,0,0,40,32,0,ai_gpu,tor,cisco,,[],
0,0,0,0,0,0,26,0,0,0,cloud,spine,cisco,9400,"['N9K-X9400-16W', 'N9K-X9400-16W']",19838.96304
0,0,0,46,0,0,0,0,0,0,enterprise,spine,cisco,92304QC,['92304QC'],7333.364963
0,0,0,0,0,0,0,20,0,0,ai_gpu,spine,cisco,9400,"['N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D']",29758.444559999996
0,60,0,10,0,2,0,0,0,0,enterprise,tor,cisco,93360YC-FX2,['93360YC-FX2'],7333.364963
0,0,0,0,0,0,0,34,0,0,ai_gpu,spine,cisco,9808,['N9K-X9836DM-A'],48124.04366
0,0,0,0,58,24,0,8,0,0,cloud_50g,leaf,cisco,9516,"['N9K-X9732C-EX', 'N9K-X9716D-GX']",30458.064079999996
0,0,0,0,0,80,0,0,0,0,cloud_50g,spine,cisco,9516,"['N9K-X9732C-EX', 'N9K-X9732C-EX', 'N9K-X9732C-EX']",29758.444559999996
0,0,0,0,0,0,0,28,0,0,cloud,edge,cisco,9400,"['N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D']",39677.92608
0,0,0,0,0,44,22,6,0,0,cloud,tor,cisco,9332D-GX2B,['9332D-GX2B'],42595.51975
0,62,0,0,0,2,0,0,0,0,enterprise,leaf,cisco,9516,"['N9K-X9564PX', 'N9K-X96136YC-R']",5869.721621
0,0,0,0,0,32,0,10,0,0,ai_gpu,edge,cisco,9808,['N9K-X98900CD-A'],29378.94055
0,0,0,0,48,0,14,0,0,0,cloud_50g,edge,cisco,9400,"['N9K-X9400-22L', 'N9K-X9400-22L', 'N9K-X9400-16W', 'N9K-X9400-22L']",19617.09945
0,0,0,0,0,26,10,0,0,0,cloud,edge,cisco,N9K-C9316D-GX,['N9K-C9316D-GX'],20538.58256
0,0,0,0,4,2,0,0,0,0,cloud_50g,edge,cisco,93180LC-EX,['93180LC-EX'],3541.781815
0,0,0,0,0,28,6,6,0,0,ai_gpu,tor,cisco,N9K-C9316D-GX,['N9K-C9316D-GX'],20538.58256
0,0,56,0,0,0,0,2,0,0,enterprise,leaf,cisco,HF6100-60L4D,['HF6100-60L4D'],14520.35448
0,0,0,0,76,16,0,4,0,0,cloud,tor,cisco,9516,"['N9K-X9732C-EX', 'N9K-X9732C-EX', 'N9K-X9716D-GX']",40377.5456
0,0,0,0,18,16,0,0,0,0,cloud_50g,edge,cisco,9516,['N9K-X9732C-EX'],9919.48152
0,0,0,0,0,0,0,38,0,0,ai_gpu,spine,cisco,9400,"['N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D']",49597.4076
0,0,0,0,0,0,0,32,0,0,ai_gpu,spine,cisco,9400,"['N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D', 'N9K-X9400-8D']",39677.92608
0,0,0,0,0,38,0,0,0,0,enterprise,spine,cisco,9516,"['N9K-X9732C-EX', 'N9K-X96136YC-R', 'N9K-X96136YC-R']",17997.918566
0,0,0,0,0,0,0,62,4,0,ai_gpu,tor,cisco,,[],
0,0,0,0,0,0,42,18,8,0,cloud,tor,cisco,,[],
0,0,0,0,0,0,44,0,0,0,ai_gpu,spine,cisco,9400,"['N9K-X9400-16W', 'N9K-X9400-16W', 'N9K-X9400-16W']",29758.444559999996
0,0,0,0,0,44,0,6,0,0,enterprise,leaf,cisco,9516,"['N9K-X9732C-EX', 'N9K-X9716D-GX']",30458.064079999996
0,0,0,0,0,66,26,4,0,0,ai_gpu,tor,cisco,9364D-GX2A,['9364D-GX2A'],88123.0616
0,0,0,0,0,0,24,2,4,0,ai_gpu,edge,cisco,HF6100-64ED,['HF6100-64ED'],182311.8737
0,58,0,0,0,2,0,0,0,0,enterprise,leaf,cisco,9516,"['N9K-X9564PX', 'N9K-X96136YC-R']",5869.721621
0,0,0,0,0,32,0,0,0,0,cloud_50g,spine,cisco,9516,['N9K-X9732C-EX'],9919.48152
0,0,0,0,0,112,0,0,0,0,cloud_50g,spine,cisco,9516,"['N9K-X9732C-EX', 'N9K-X9732C-EX', 'N9K-X9732C-EX', 'N9K-X9732C-EX']",39677.92608
0,0,0,0,0,0,0,36,0,0,ai_gpu,leaf,cisco,9808,['N9K-X9836DM-A'],48124.04366
0,0,0,0,0,0,0,0,36,0,cloud,spine,cisco,HF6100-64ED,['HF6100-64ED'],182311.8737
0,0,0,0,0,28,0,4,0,0,enterprise,edge,cisco,N9K-C93600CD-GX,['N9K-C93600CD-GX'],19192.88709
20,2,0,0,0,0,0,0,0,0,enterprise,edge,cisco,9348GC-FX3PH,['9348GC-FX3PH'],944.5089136
0,0,0,0,34,0,4,0,0,0,cloud_50g,tor,cisco,HF6100-60L4D,['HF6100-60L4D'],14520.35448
0,58,8,0,0,0,0,0,0,0,enterprise,leaf,cisco,9516,"['N9K-X9564PX', 'N9K-X96136YC-R']",5869.721621
0,0,0,0,16,4,0,0,0,0,cloud_50g,edge,cisco,93180LC-EX,['93180LC-EX'],3541.781815
0,0,0,0,0,52,0,0,0,0,enterprise,edge,cisco,N9K-C93600CD-GX,['N9K-C93600CD-GX'],19192.88709
