code,800,400,200,100,50,40,25,10,1,0.1,throughput,macsec,deepbuffer,type,maxmodules,family,cost
7816LR4,,,,,,,,,,,460.0,,,modular,16.0,7800R4,25961.27286
7812R4,,,,,,,,,,,345.0,,,modular,12.0,7800R4,19192.88709
7808R4,,,,,,,,,,,230.0,,,modular,8.0,7800R4,12538.4683
7804R4,,,,,,,,,,,115.0,,,modular,4.0,7800R4,6055.681021
7800R4C-36PE,36.0,,,,,,,,,,28.8,,32.0,linecard,,7800R4,99642.26879
7800R4C-36PE,,72.0,,,,,,,,,28.8,,32.0,linecard,,7800R4,99642.26879
7800R4C-36PE,,,,288.0,,,,,,,28.8,,32.0,linecard,,7800R4,99642.26879
7800R4-36PE,36.0,,,,,,,,,,28.8,,32.0,linecard,,7800R4,99642.26879
7800R4-36PE,,72.0,,,,,,,,,28.8,,32.0,linecard,,7800R4,99642.26879
7800R4-36PE,,,,288.0,,,,,,,28.8,,32.0,linecard,,7800R4,99642.26879
7800R4K-36PE,36.0,,,,,,,,,,28.8,x,32.0,linecard,,7800R4,99642.26879
7800R4K-36PE,,72.0,,,,,,,,,28.8,x,32.0,linecard,,7800R4,99642.26879
7800R4K-36PE,,,,288.0,,,,,,,28.8,x,32.0,linecard,,7800R4,99642.26879
7816LR3,,,,,,,,,,,460.0,,,modular,16.0,7800R3,25961.27286
7816R3,,,,,,,,,,,460.0,,,modular,16.0,7800R3,25961.27286
7812R3,,,,,,,,,,,345.0,,,modular,12.0,7800R3,19192.88709
7808R3,,,,,,,,,,,230.0,,,modular,8.0,7800R3,12538.4683
7804R3,,,,,,,,,,,115.0,,,modular,4.0,7800R3,6055.681021
7800R3A-36P,,36.0,,,,,,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36P,,,,144.0,,,,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36P,,,,,232.0,,,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36P,,8.0,,,224.0,,,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36P,,,,8.0,224.0,,,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36P,,,,,224.0,8.0,,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36P,,,,,,36.0,,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36P,,,,,,,232.0,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36P,,8.0,,,,,224.0,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36P,,,,8.0,,,224.0,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36P,,,,,,8.0,224.0,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36P,,,,,,,,232.0,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36P,,8.0,,,,,,224.0,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36P,,,,8.0,,,,224.0,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36P,,,,,,8.0,,224.0,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36P,,,,,224.0,,8.0,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36P,,,,,224.0,,,8.0,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36P,,,,,8.0,,224.0,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36P,,,,,,,224.0,8.0,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36P,,,,,8.0,,,224.0,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36P,,,,,,,8.0,224.0,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36PM,,36.0,,,,,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36PM,,,,144.0,,,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36PM,,,,,232.0,,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36PM,,8.0,,,224.0,,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36PM,,,,8.0,224.0,,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36PM,,,,,224.0,8.0,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36PM,,,,,,36.0,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36PM,,,,,,,232.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36PM,,8.0,,,,,224.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36PM,,,,8.0,,,224.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36PM,,,,,,8.0,224.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36PM,,,,,,,,232.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36PM,,8.0,,,,,,224.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36PM,,,,8.0,,,,224.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36PM,,,,,,8.0,,224.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36PM,,,,,224.0,,8.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36PM,,,,,224.0,,,8.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36PM,,,,,8.0,,224.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36PM,,,,,,,224.0,8.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36PM,,,,,8.0,,,224.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36PM,,,,,,,8.0,224.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,36.0,,,,,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,144.0,,,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,,232.0,,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,8.0,,,224.0,,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,8.0,224.0,,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,,224.0,8.0,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,,,36.0,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,,,,232.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,8.0,,,,,224.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,8.0,,,224.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,,,8.0,224.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,,,,,232.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,8.0,,,,,,224.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,8.0,,,,224.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,,,8.0,,224.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,,224.0,,8.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,,224.0,,,8.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,,8.0,,224.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,,,,224.0,8.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,,8.0,,,224.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,,,,8.0,224.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36D,,36.0,,,,,,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36D,,,,144.0,,,,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36D,,,,,232.0,,,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36D,,8.0,,,224.0,,,,,,14.4,,16.0,linecard,,7800R3,48124.04366
