code,800,400,200,100,50,40,25,10,1,0.1,throughput,macsec,deepbuffer,type,maxmodules,family,cost
9808,,,,,,,,,,,,,,modular,8.0,9800,12538.4683
9804,,,,,,,,,,,,,,modular,4.0,9800,6055.681021
N9K-X9836DM-A,,36.0,,,,,,,,,14.4Tbps,x,324MB + 24GB,linecard,,9800,48124.04366
N9K-X98900CD-A,,14.0,,34.0,,,,,,,9Tbps,16_100,216MB + 16GB,linecard,,9800,29378.94055
9516,,,,,,,,,,,,,,modular,16.0,9500,25961.27286
9508,,,,,,,,,,,,,,modular,8.0,9500,12538.4683
9504,,,,,,,,,,,,,,modular,4.0,9500,6055.681021
N9K-X9716D-GX,,16.0,,,,,,,,,12.8 Tbps,x,160 MB,linecard,,9500,20538.58256
N9K-X9716D-GX,,,,64.0,,,,,,,12.8 Tbps,x,160 MB,linecard,,9500,20538.58256
N9K-X9716D-GX,,,,,64.0,,,,,,12.8 Tbps,x,160 MB,linecard,,9500,20538.58256
N9K-X9716D-GX,,,,,,64.0,,,,,12.8 Tbps,x,160 MB,linecard,,9500,20538.58256
N9K-X9716D-GX,,,,,,,64.0,,,,12.8 Tbps,x,160 MB,linecard,,9500,20538.58256
N9K-X9716D-GX,,,,,,,,64.0,,,12.8 Tbps,x,160 MB,linecard,,9500,20538.58256
N9K-X9736C-FX3,,,,36.0,,,,,,,7.2 Tbps,x,160 MB,linecard,,9500,11225.33011
N9K-X9736C-FX3,,,,,72.0,,,,,,7.2 Tbps,x,160 MB,linecard,,9500,11225.33011
N9K-X9736C-FX3,,,,,,36.0,,,,,7.2 Tbps,x,160 MB,linecard,,9500,11225.33011
N9K-X9736C-FX3,,,,,,,144.0,,,,7.2 Tbps,x,160 MB,linecard,,9500,11225.33011
N9K-X9736C-FX3,,,,,,,,144.0,,,7.2 Tbps,x,160 MB,linecard,,9500,11225.33011
N9K-X9736C-FX3,,,,8.0,,,,,28.0,,7.2 Tbps,x,160 MB,linecard,,9500,11225.33011
N9K-X9736C-FX3,,,,,16.0,,,,28.0,,7.2 Tbps,x,160 MB,linecard,,9500,11225.33011
N9K-X9736C-FX3,,,,,,8.0,,,28.0,,7.2 Tbps,x,160 MB,linecard,,9500,11225.33011
N9K-X9736C-FX3,,,,,,,32.0,,28.0,,7.2 Tbps,x,160 MB,linecard,,9500,11225.33011
N9K-X9736C-FX3,,,,,,,,32.0,28.0,,7.2 Tbps,x,160 MB,linecard,,9500,11225.33011
N9K-X9736C-FX,,,,36.0,,,,,,,7.2 Tbps,x,160 MB,linecard,,9500,11225.33011
N9K-X9736C-FX,,,,,72.0,,,,,,7.2 Tbps,x,160 MB,linecard,,9500,11225.33011
N9K-X9736C-FX,,,,,,36.0,,,,,7.2 Tbps,x,160 MB,linecard,,9500,11225.33011
N9K-X9736C-FX,,,,,,,144.0,,,,7.2 Tbps,x,160 MB,linecard,,9500,11225.33011
N9K-X9736C-FX,,,,,,,,144.0,,,7.2 Tbps,x,160 MB,linecard,,9500,11225.33011
