code,800,400,200,100,50,40,25,10,1,0.1,throughput,macsec,deepbuffer,type,maxmodules,family,cost
CE16804,,,,,,,,,,,45Tbps,,,modular,,CE16800,76890.0
CE16808,,,,,,,,,,,89 Tbps,,,modular,,CE16800,157000.0
CE16816,,,,,,,,,,,178 Tbps,,,modular,,CE16800,325000.0
CE16800-X4,,,,,,,,,,,387 Tbps,,,modular,,CE16800-X,736.0
CE16800-X8,,,,,,,,,,,774 Tbps,,,modular,,CE16800-X,150000.0
CE16800-X16,,,,,,,,,,,1548 Tbps,,,modular,,CE16800-X,315000.0
CEX-L48YSAJ,,,,4.0,,,40.0,,,,,,,linecard,,CE16800-X,2011.1035724065014
CEX-L48YSAJ,,,,4.0,,,,40.0,,,,,,linecard,,CE16800-X,2011.1035724065014
CEX-L48YSAJ,,,,,,4.0,40.0,,,,,,,linecard,,CE16800-X,2011.1035724065014
CEX-L48YSAJ,,,,,,4.0,,40.0,,,,,,linecard,,CE16800-X,2011.1035724065014
CEX-L48YSAJ,,,,,,,44.0,,,,,,,linecard,,CE16800-X,2011.1035724065014
CEX-L48YSAJ,,,,,,,,44.0,,,,,,linecard,,CE16800-X,2011.1035724065014
CEX-L48YSJ,,,,,,,48.0,,,,,,,linecard,,CE16800-X,2011.1035724065014
CEX-L48YSJ,,,,,,,,48.0,,,,,,linecard,,CE16800-X,2011.1035724065014
CEX-L72YS6CQJ2,,,,6.0,,,72.0,,,,,,,linecard,,CE16800-X,3541.7818153055237
CEX-L72YS6CQJ2,,,,6.0,,,,72.0,,,,,,linecard,,CE16800-X,3541.7818153055237
CEX-L72YS6CQJ2,,,,,6.0,,72.0,,,,,,,linecard,,CE16800-X,3541.7818153055237
CEX-L72YS6CQJ2,,,,,6.0,,,72.0,,,,,,linecard,,CE16800-X,3541.7818153055237
CEX-L24CQJ,,,12.0,,,,,,,,,,,linecard,,CE16800-X,3541.7818153055237
CEX-L24CQJ,,,,24.0,,,,,,,,,,linecard,,CE16800-X,3541.7818153055237
CEX-L24CQJ,,,,,,24.0,,,,,,,,linecard,,CE16800-X,3541.7818153055237
CEX-L24CQJ,,,,,,,96.0,,,,,,,linecard,,CE16800-X,3541.7818153055237
CEX-L24CQJ,,,,,,,,96.0,,,,,,linecard,,CE16800-X,3541.7818153055237
CEX-L36CQJ,,,18.0,,,,,,,,,,,linecard,,CE16800-X,5421.477076613724
CEX-L36CQJ,,,,36.0,,,,,,,,,,linecard,,CE16800-X,5421.477076613724
CEX-L36CQJ,,,,,,36.0,,,,,,,,linecard,,CE16800-X,5421.477076613724
CEX-L36CQJ,,,,,,,144.0,,,,,,,linecard,,CE16800-X,5421.477076613724
CEX-L36CQJ,,,,,,,,144.0,,,,,,linecard,,CE16800-X,5421.477076613724
CEX-L48CQJ2,,,,48.0,,,,,,,,,,linecard,,CE16800-X,7333.364962570088
CEX-L48CQJ2,,,,,,48.0,,,,,,,,linecard,,CE16800-X,7333.364962570088
CEX-L48CQJ2,,,,,96.0,,,,,,,,,linecard,,CE16800-X,7333.364962570088
CEX-L48CQJ2,,,,,,,192.0,,,,,,,linecard,,CE16800-X,7333.364962570088
CEX-L48CQJ2,,,,,,,,192.0,,,,,,linecard,,CE16800-X,7333.364962570088
CEX-L18DQJ,,18.0,,,,,,,,,,,,linecard,,CE16800-X,11225.330105656549
CEX-L18DQJ,,,30.0,,,,,,,,,,,linecard,,CE16800-X,11225.330105656549
CEX-L18DQJ,,,,54.0,,,,,,,,,,linecard,,CE16800-X,11225.330105656549
CEX-L18DQJ,,,,,,18.0,,,,,,,,linecard,,CE16800-X,11225.330105656549
CEX-L18DQJ,,6.0,24.0,,,,,,,,,,,linecard,,CE16800-X,11225.330105656549
CEX-L18DQJ,,6.0,,48.0,,,,,,,,,,linecard,,CE16800-X,11225.330105656549
CEX-L36DQ2CQJ2,,36.0,,2.0,,,,,,,,,,linecard,,CE16800-X,23581.449601237477
CEX-L36DQ2CQJ2,,,72.0,2.0,,,,,,,,,,linecard,,CE16800-X,23581.449601237477
CEX-L36DQ2CQJ2,,,,146.0,,,,,,,,,,linecard,,CE16800-X,23581.449601237477
CEX-L36DQ2CQJ2,,,,2.0,,36.0,,,,,,,,linecard,,CE16800-X,23581.449601237477
