code,800,400,200,100,50,40,25,10,1,0.1,throughput,macsec,deepbuffer,type,maxmodules,family,cost
QFX5700,,,,,,,,,,,25.6 Tbps,,,modular,8.0,QFX5700,42525.74822234694
QFX5K-FPC-4CD,,4.0,,,,,,,,,,,,linecard,,QFX5700,2313.8008793470794
QFX5K-FPC-20Y,,,,,,,20.0,,,,,,,linecard,,QFX5700,682.2106651607089
QFX5K-FPC-20Y,,,,,,,,20.0,,,,,,linecard,,QFX5700,682.2106651607089
QFX5K-FPC-20Y,,,,,,,,,20.0,,,,,linecard,,QFX5700,682.2106651607089
QFX5K‑FPC‑16C,,,,16.0,,,,,,,,,,linecard,,QFX5700,2313.8008793470794
QFX5241-32OD,32.0,,,,,,,2.0,,,,,,fixed,,QFX5240,42560.63330635309
QFX5241-32OD,,64.0,,,,,,,,,,,,fixed,,QFX5240,42560.63330635309
QFX5241-32OD,,,128.0,,,,,,,,,,,fixed,,QFX5240,42560.63330635309
QFX5241-32OD,14.0,,,144.0,,,,,,,,,,fixed,,QFX5240,42560.63330635309
QFX5241-32OD,,32.0,,128.0,,,,,,,,,,fixed,,QFX5240,42560.63330635309
QFX5241-32OD,,,96.0,64.0,,,,,,,,,,fixed,,QFX5240,42560.63330635309
QFX5241-32OD,,,,160.0,,,,,,,,,,fixed,,QFX5240,42560.63330635309
QFX5240-64OD,64.0,,,,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5240-64OD,,128.0,,,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5240-64OD,,,256.0,,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5240-64OD,28.0,,,288.0,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5240-64OD,,64.0,,256.0,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5240-64OD,,,192.0,128.0,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5240-64OD,,,,320.0,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5240-64QD,64.0,,,,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5240-64QD,,128.0,,,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5240-64QD,,,256.0,,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5240-64QD,28.0,,,288.0,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5240-64QD,,64.0,,256.0,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5240-64QD,,,192.0,128.0,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5240-64QD,,,,320.0,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5241-64OD,64.0,,,,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5241-64OD,,128.0,,,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5241-64OD,,,256.0,,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5241-64OD,28.0,,,288.0,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5241-64OD,,64.0,,256.0,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5241-64OD,,,192.0,128.0,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5241-64OD,,,,320.0,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5241-64QD,64.0,,,,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5241-64QD,,128.0,,,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5241-64QD,,,256.0,,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5241-64QD,28.0,,,288.0,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5241-64QD,,64.0,,256.0,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5241-64QD,,,192.0,128.0,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5241-64QD,,,,320.0,,,,,,,,,,fixed,,QFX5240,88050.83098941126
QFX5230-64CD,,64.0,,,,,,,,,,,,fixed,,QFX5230,42525.74822234694
QFX5230-64CD,,,128.0,,,,,,,,,,,fixed,,QFX5230,42525.74822234694
QFX5230-64CD,,,,256.0,,,,,,,,,,fixed,,QFX5230,42525.74822234694
QFX5230-64CD,,,,,,64.0,,,,,,,,fixed,,QFX5230,42525.74822234694
QFX5230-64CD,,,,,,,256.0,,,,,,,fixed,,QFX5230,42525.74822234694
QFX5230-64CD,,,,,,,,256.0,,,,,,fixed,,QFX5230,42525.74822234694
QFX5100-48S,,,,,,6.0,,48.0,,,,,,fixed,,QFX5100,1000.4585987527388
QFX5100-48S,,,,,,,,72.0,,,,,,fixed,,QFX5100,1000.4585987527388
QFX5100-48T,,,,,,6.0,,48.0,,,,,,fixed,,QFX5100,1000.4585987527388
QFX5100-48T,,,,,,,,72.0,,,,,,fixed,,QFX5100,1000.4585987527388
QFX5100-48T,,,,,,6.0,,,48.0,,,,,fixed,,QFX5100,1000.4585987527388
QFX5100-48T,,,,,,6.0,,,,48.0,,,,fixed,,QFX5100,1000.4585987527388
QFX5100-48T,,,,,,,,24.0,48.0,,,,,fixed,,QFX5100,1000.4585987527388
QFX5100-48T,,,,,,,,24.0,,48.0,,,,fixed,,QFX5100,1000.4585987527388
QFX5100-24Q,,,,,,24.0,,,,,,,,fixed,,QFX5100,1353.2710608043105
QFX5100-24Q+,,,,,,32.0,,,,,,,,fixed,,QFX5100,1830.503097572991
QFX5100-24Q,,,,,,,,96.0,,,,,,fixed,,QFX5100,1353.2710608043105
QFX5100-24Q+,,,,,,,,128.0,,,,,,fixed,,QFX5100,1830.503097572991
QFX5100-24Q-AA,,,,,,24.0,,,,,,,,fixed,,QFX5100,1353.2710608043105
QFX5100-24Q-AA+,,,,,,32.0,,,,,,,,fixed,,QFX5100,1830.503097572991
QFX5100-24Q-AA,,,,,,,,96.0,,,,,,fixed,,QFX5100,1353.2710608043105
QFX5100-24Q-AA+,,,,,,,,128.0,,,,,,fixed,,QFX5100,1830.503097572991
QFX5100-96S,,,,,,8.0,,96.0,,,,,,fixed,,QFX5100,1830.503097572991
QFX5100-96S,,,,,,,,128.0,,,,,,fixed,,QFX5100,1830.503097572991
QFX5130,,32.0,,,,,,,,,,,,fixed,,QFX5130,20538.58256133803
QFX5130,,,,128.0,,,,,,,,,,fixed,,QFX5130,20538.58256133803
QFX5130,,,,,,,128.0,,,,,,,fixed,,QFX5130,20538.58256133803
QFX5130,,,,,,,,128.0,,,,,,fixed,,QFX5130,20538.58256133803
QFX5120-48Y,,,,8.0,,,48.0,,,,,,,fixed,,QFX5120,2924.7011471139235
QFX5120-48Y,,,,8.0,,,,48.0,,,,,,fixed,,QFX5120,2924.7011471139235
QFX5120-48Y,,,,8.0,,,,,48.0,,,,,fixed,,QFX5120,2924.7011471139235
QFX5120-48Y,,,,,,8.0,48.0,,,,,,,fixed,,QFX5120,2924.7011471139235
QFX5120-48Y,,,,,,,,48.0,,,,,,fixed,,QFX5120,2924.7011471139235
QFX5120-48Y,,,,,,,,,48.0,,,,,fixed,,QFX5120,2924.7011471139235
QFX5120-48YM,,,,8.0,,,48.0,,,,,,,fixed,,QFX5120,2924.7011471139235
QFX5120-48YM,,,,8.0,,,,48.0,,,,,,fixed,,QFX5120,2924.7011471139235
QFX5120-48YM,,,,8.0,,,,,48.0,,,,,fixed,,QFX5120,2924.7011471139235
QFX5120-48YM,,,,,,8.0,48.0,,,,,,,fixed,,QFX5120,2924.7011471139235
QFX5120-48YM,,,,,,,,48.0,,,,,,fixed,,QFX5120,2924.7011471139235
QFX5120-48YM,,,,,,,,,48.0,,,,,fixed,,QFX5120,2924.7011471139235
QFX5120-48T,,,,6.0,,,,48.0,,,,,,fixed,,QFX5120,1531.4222168626673
QFX5120-48T,,,,6.0,,,,,48.0,,,,,fixed,,QFX5120,1531.4222168626673
QFX5120-48T,,,,,6.0,,,48.0,,,,,,fixed,,QFX5120,1531.4222168626673
QFX5120-48T,,,,,6.0,,,,48.0,,,,,fixed,,QFX5120,1531.4222168626673
QFX5120-32C,,,,32.0,,,,,,,,,,fixed,,QFX5120,4790.793782282743
QFX5120-32C,,,,,,32.0,,,,,,,,fixed,,QFX5120,4790.793782282743
QFX5110-48S,,,,4.0,,,,48.0,,,,,,fixed,,QFX5110,1235.1133211217184
QFX5110-48S,,,,,,4.0,,48.0,,,,,,fixed,,QFX5110,1235.1133211217184
QFX5110-48S,,,,,,,,64.0,,,,,,fixed,,QFX5110,1235.1133211217184
QFX5110-32Q,,,,32.0,,,,,,,,,,fixed,,QFX5110,4790.793782282743
QFX5110-32Q,,,,8.0,,,,96.0,,,,,,fixed,,QFX5110,4790.793782282743
QFX5220-32CD,,32.0,,,,,,2.0,,,,,,fixed,,QFX5220,20572.279988956336
QFX5220-32CD,,,,32.0,,,,2.0,,,,,,fixed,,QFX5220,20572.279988956336
QFX5220-32CD,,,,,,32.0,,2.0,,,,,,fixed,,QFX5220,20572.279988956336
QFX5220-128C,,,,128.0,,,,2.0,,,,,,fixed,,QFX5220,20572.279988956336
QFX5210,,,,64.0,,,,,,,,,,fixed,,QFX5210,9919.48152030935
QFX5210,,,,8.0,,,96.0,,,,,,,fixed,,QFX5210,9919.48152030935
QFX5210,,,,8.0,,,,96.0,,,,,,fixed,,QFX5210,9919.48152030935
QFX5210,,,,,,64.0,,,,,,,,fixed,,QFX5210,9919.48152030935
QFX5210,,,,,,8.0,96.0,,,,,,,fixed,,QFX5210,9919.48152030935
QFX5210,,,,,,8.0,,96.0,,,,,,fixed,,QFX5210,9919.48152030935
QFX5200-32C,,,,32.0,,,,,,,,,,fixed,,QFX5200,4790.793782282743
QFX5200-32C,,,,,64.0,,,,,,,,,fixed,,QFX5200,4790.793782282743
QFX5200-32C,,,,,,32.0,,,,,,,,fixed,,QFX5200,4790.793782282743
