code,800,400,200,100,50,40,25,10,1,0.1,throughput,macsec,deepbuffer,type,maxmodules,family,cost
7220 IXR-H2,,,,128.0,,,,,,,12.8 Tb/s,,64 MB,fixed,,7220,42525.74822
7220 IXR-H2,,,,,128.0,,,,,,12.8 Tb/s,,64 MB,fixed,,7220,42525.74822
7220 IXR-H2,,,,,,128.0,,,,,12.8 Tb/s,,64 MB,fixed,,7220,42525.74822
7220 IXR-H2,,,,,,,128.0,,,,12.8 Tb/s,,64 MB,fixed,,7220,42525.74822
7220 IXR-H2,,,,,,,,128.0,,,12.8 Tb/s,,64 MB,fixed,,7220,42525.74822
7220 IXR-H2,,32.0,,,,,,10.0,,,12.8 Tb/s,,64 MB,fixed,,7220,42525.74822
7220 IXR-H2,,,64.0,,,,,10.0,,,12.8 Tb/s,,64 MB,fixed,,7220,42525.74822
7220 IXR-H2,,,,128.0,,,,10.0,,,12.8 Tb/s,,64 MB,fixed,,7220,42525.74822
7220 IXR-H2,,,,,128.0,,,10.0,,,12.8 Tb/s,,64 MB,fixed,,7220,42525.74822
7220 IXR-H2,,,,,,32.0,,10.0,,,12.8 Tb/s,,64 MB,fixed,,7220,42525.74822
7220 IXR-H2,,,,,,,128.0,10.0,,,12.8 Tb/s,,64 MB,fixed,,7220,42525.74822
7220 IXR-H2,,,,,,,,128.0,,,12.8 Tb/s,,113.5 MB,fixed,,7220,42525.74822
7220 IXR-H4-32D,,32.0,,,,,,1.0,,,12.8 Tb/s,,113.5 MB,fixed,,7220,42560.63331
7220 IXR-H4-32D,,,64.0,,,,,1.0,,,12.8 Tb/s,,113.5 MB,fixed,,7220,42560.63331
7220 IXR-H4-32D,,,,128.0,,,,1.0,,,12.8 Tb/s,,113.5 MB,fixed,,7220,42560.63331
7220 IXR-H4-32D,,,,,128.0,,,1.0,,,12.8 Tb/s,,113.5 MB,fixed,,7220,42560.63331
7220 IXR-H4-32D,,,,,,32.0,,1.0,,,12.8 Tb/s,,113.5 MB,fixed,,7220,42560.63331
7220 IXR-H4-32D,,,,,,,128.0,1.0,,,12.8 Tb/s,,113.5 MB,fixed,,7220,42560.63331
7220 IXR-H4-32D,,,,,,,,128.0,,,12.8 Tb/s,,113.5 MB,fixed,,7220,42560.63331
7220 IXR-H4,,64.0,,,,,,10.0,,,25.6 Tb/s,,113.5 MB,fixed,,7220,88412.0122
7220 IXR-H4,,,128.0,,,,,10.0,,,25.6 Tb/s,,113.5 MB,fixed,,7220,88412.0122
7220 IXR-H4,,,,256.0,,,,10.0,,,25.6 Tb/s,,113.5 MB,fixed,,7220,88412.0122
7220 IXR-H4,,,,,256.0,,,10.0,,,25.6 Tb/s,,113.5 MB,fixed,,7220,88412.0122
7220 IXR-H4,,,,,,64.0,,10.0,,,25.6 Tb/s,,113.5 MB,fixed,,7220,88412.0122
7220 IXR-H4,,,,,,,128.0,10.0,,,25.6 Tb/s,,113.5 MB,fixed,,7220,88412.0122
7220 IXR-H4,,,,,,,,256.0,,,25.6 Tb/s,,113.5 MB,fixed,,7220,88412.0122
