code,cost
9808,12538.4683
9804,6055.681021
N9K-X9836DM-A,48124.04366
N9K-X98900CD-A,29378.94055
9516,25961.27286
9508,12538.4683
9504,6055.681021
N9K-X9716D-GX,20538.58256
N9K-X9736C-FX3,11225.33011
N9K-X9736C-FX,11225.33011
N9K-X9732C-EX,9919.48152
N9K-X9732C-FX,9919.48152
N9K-X9736C-EX,11225.33011
N9K-X97160YC-EX,4790.793782
N9K-X9788TC-FX,4790.793782
N9K-X9624D-R2,31438.82383
N9K-X9636C-RX,11225.33011
N9K-X9636C-R,11225.33011
N9K-X9636Q-R,11225.33011
N9K-X96136YC-R,4039.218523
N9K-X9432C-S,9919.48152
N9K-X9736PQ,4289.059906
N9K-X9636PQ,4289.059906
N9K-X9536PQ,4289.059906
N9K-X9432PQ,3790.1113
N9K-X9564PX,1830.503098
N9K-X9464PX,1830.503098
N9K-X9564TX,1830.503098
N9K-X9464TX2,1830.503098
9400,0
N9K-X9400-8D,9919.48152
N9K-X9400-16W,9919.48152
N9K-X9400-22L,3232.53931
HF6100-60L4D,14520.35448
HF6100-32D,42525.74822
HF6100-64ED,182311.8737
93180YC-EX,3541.781815
93108TC-EX,3541.781815
93180LC-EX,3541.781815
93400LD-H1,12538.4683
9332D-H2R,42525.74822
9364D-GX2A,88123.0616
9348D-GX2A,88123.0616
9332D-GX2B,42595.51975
N9K-C9316D-GX,20538.58256
N9K-C93600CD-GX,19192.88709
N9K-C9364C-GX,20538.58256
93180YC-FX3,5421.477077
93108TC-FX3,5421.477077
93108TC-FX3P,3170.855409
9348GC-FX3,2253.101871
9348GC-FX3PH,944.5089136
9336C-FX2,11225.33011
9336C-FX2-E,11225.33011
93240YC-FX2,7333.364963
93360YC-FX2,7333.364963
93216TC-FX2,7333.364963
93180YC-FX,5421.477077
93108TC-FX,5421.477077
9348GC-FXP,965.472041
92348GC-X,965.472041
92348GC-FX3,965.472041
92160YC-X,5042.619992
9272Q,8880.626554
92304QC,7333.364963
9236C,11225.33011
92300YC,9269.553448
N9364E-SP2R,182311.8737
,
7220 IXR-H2,42525.74822
7220 IXR-H4-32D,42560.63331
7220 IXR-H4,88412.0122
7220 IXR-H5-32D,88123.0616
7220 IXR-H5-64D,88123.0616
7250 IXR-6e,0
7250 IXR-10e,0
7250  IXR-18e,0
36-port 800GE,99642.26879
36-port 400GE,99642.26879
60-port 100GE,19192.88709
7250 IXR-X1b,23242.38103
7250 IXR-X3b,48124.04366
7220 IXR-D5,42595.51975
7220 IXR-D4,19192.88709
7220 IXR-D3L,9919.48152
7220 IXR-D2L,6119.281517
7220 IXR-D1,227.923078
7215 IXS-A1,122.7219673
,
7816LR4,25961.27286
7812R4,19192.88709
7808R4,12538.4683
7804R4,6055.681021
7800R4C-36PE,99642.26879
7800R4-36PE,99642.26879
7800R4K-36PE,99642.26879
7816LR3,25961.27286
7816R3,25961.27286
7812R3,19192.88709
7808R3,12538.4683
7804R3,6055.681021
7800R3A-36P,48124.04366
7800R3A-36PM,48124.04366
7800R3AK-36PM,48124.04366
7800R3A-36D,48124.04366
7800R3A-36DM,48124.04366
7800R3AK-36DM,48124.04366
7800R3A-36D2,48124.04366
7800R3A-36DM2,48124.04366
7800R3AK-36DM2,48124.04366
7800R3-36P,48124.04366
7800R3-36D,48124.04366
7800R3K-36DM,48124.04366
7800R3-48CQ,15183.95104
7800R3-48CQM,15183.95104
7800R3K-48CQ,15183.95104
7800R3K-72Y,7976.337297
7800R3-48CQ2,15183.95104
7800R3-48CQM2,15183.95104
7800R3-48CQMS,15183.95104
7720R4-128PE,377482.176
7700R4C-38PE,105826.9615
7512R3,19192.88709
7508R3,12538.4683
7504R3,6055.681021
7500R3-24P,31438.82383
7500R3-24D,31438.82383
7500R3-36CQ,11225.33011
7500R3K-36CQ,11225.33011
7500R3K-48Y4D,8621.789757
7516N,25961.27286
7512N,19192.88709
7508N,12538.4683
7504N,6055.681021
7500R-36CQ,11225.33011
7500R-36Q,1710.567862
7500R-48S2CQ,1950.813956
7500R2A-36CQ,11225.33011
7500R2-36CQ,11225.33011
7500R2AK-36CQ,11225.33011
7500R2AK-48YCQ,2863.313329
7308X3,12538.4683
7304X3,6055.681021
DCS-7300X3-32C-LC,20538.58256
DCS-7300X3-48YC4-LC,6055.681021
DCS-7300X3-48TC4-LC,6055.681021
7388X5,12538.4683
DCS-7388-16CD2,9919.48152
DCS-7388-8DR,9919.48152
DCS-7388-8D,9919.48152
7368X4,12538.4683
DCS-7368-16S,1117.492164
DCS-7368-16C,4790.793782
DCS-7358-16C,4790.793782
DCS-7368-4D,4790.793782
DCS-7368-4P,4790.793782
7280R4-32PE,88050.83099
7280R4K-32PE,88050.83099
7280R4-32DE,88050.83099
7280R4K-32DE,88050.83099
7280R4-64QC-10PE,48124.04366
7280R4K-64QC-10PE,48124.04366
7280R3A,0
7280DR3A-54,73664.44721
7280DR3AM-54,73664.44721
7280DR3AK-54,73664.44721
7280DR3A-36,48124.04366
7280DR3AM-36,48124.04366
7280DR3AK-36,48124.04366
7280CR3A-24D12,23242.38103
7280CR3AM-24D12,23242.38103
7280CR3AK-24D12,23242.38103
7280CR3A-48D6,23242.38103
7280CR3AM-48D6,23242.38103
7280CR3AK-48D6,23242.38103
7280CR3A-72,23242.38103
7280CR3AM-72,23242.38103
7280CR3AK-72,23242.38103
7280CR3A-32S,23242.38103
7280CR3AM-32S,23242.38103
7280CR3AK-32S,23242.38103
7280SR3A-48YC8,11225.33011
7280SR3AM-48YC8,11225.33011
7280SR3AK-48YC8,11225.33011
7280CR3MK-32P4S,15183.95104
7280CR3MK-32D4S,15183.95104
7280CR3MK-32D4A,15183.95104
7280SR3M-48YC8,6055.681021
7280SR3MK-48YC8A,6055.681021
7280PR3-24,31438.82383
7280PR3K-24,31438.82383
7280DR3-24,31438.82383
7280DR3K-24,31438.82383
7280CR3-32P4,15183.95104
7280CR3K-32P4,31438.82383
7280CR3K-32P4A,31438.82383
7280CR3-32D4,31438.82383
