1,10,25,40,50,100,200,400,800,1600,profile,role,vendor,best_module,solution_linecards,solution_cost
0,0,0,0,0,32,0,0,0,0,cloud_50g,spine,juniper,QFX5120-32C,['QFX5120-32C'],4790.793782282743
0,0,0,0,0,0,20,8,2,0,ai_gpu,edge,juniper,QFX5241-32OD,['QFX5241-32OD'],42560.63330635309
0,0,16,0,0,0,0,0,0,0,enterprise,spine,juniper,QFX5200-48Y,['QFX5200-48Y'],2618.4008323672333
0,0,0,0,0,0,10,2,0,0,cloud,edge,juniper,QFX5230-64CD,['QFX5230-64CD'],42525.74822234694
0,0,0,0,0,0,0,40,0,0,cloud,spine,juniper,QFX5230-64CD,['QFX5230-64CD'],42525.74822234694
0,0,0,0,0,50,0,0,0,0,cloud,leaf,juniper,QFX10002-60C,['QFX10002-60C'],9269.55344760957
0,0,0,0,66,6,0,4,0,0,cloud,tor,juniper,,[],
0,32,0,0,0,4,0,0,0,0,enterprise,leaf,juniper,QFX5110-48S,['QFX5110-48S'],1235.1133211217184
0,0,0,0,0,46,0,8,0,0,ai_gpu,edge,juniper,QFX5130,['QFX5130'],20538.58256133803
0,0,0,0,0,30,0,0,0,0,cloud,spine,juniper,QFX5120-32C,['QFX5120-32C'],4790.793782282743
0,0,0,0,30,0,8,0,0,0,cloud,leaf,juniper,,[],
0,0,22,0,0,2,0,2,0,0,enterprise,tor,juniper,QFX5130,['QFX5130'],20538.58256133803
0,0,0,0,0,16,0,6,0,0,cloud,leaf,juniper,QFX5130,['QFX5130'],20538.58256133803
0,0,0,0,0,0,66,0,12,0,ai_gpu,leaf,juniper,QFX5241-32OD,['QFX5241-32OD'],42560.63330635309
0,0,0,0,0,0,0,58,0,0,ai_gpu,spine,juniper,QFX5230-64CD,['QFX5230-64CD'],42525.74822234694
0,0,0,0,0,0,0,50,0,0,ai_gpu,spine,juniper,QFX5230-64CD,['QFX5230-64CD'],42525.74822234694
0,0,0,0,0,30,0,10,0,0,ai_gpu,edge,juniper,QFX5130,['QFX5130'],20538.58256133803
0,0,0,0,0,44,0,6,4,0,ai_gpu,edge,juniper,QFX5241-32OD,['QFX5241-32OD'],42560.63330635309
0,0,0,0,0,0,0,28,6,0,cloud,edge,juniper,QFX5241-32OD,['QFX5241-32OD'],42560.63330635309
0,0,0,0,26,0,6,0,0,0,cloud_50g,edge,juniper,,[],
0,0,0,0,0,48,0,14,0,0,cloud,tor,juniper,QFX5130,['QFX5130'],20538.58256133803
0,0,72,0,0,4,0,2,0,0,enterprise,tor,juniper,QFX5130,['QFX5130'],20538.58256133803
0,0,0,0,12,2,0,0,0,0,enterprise,leaf,juniper,QFX5200-32C,['QFX5200-32C'],4790.793782282743
0,0,0,0,0,0,0,0,8,0,ai_gpu,spine,juniper,QFX5241-32OD,['QFX5241-32OD'],42560.63330635309
0,0,0,0,2,2,0,0,0,0,enterprise,edge,juniper,QFX5120-48T,['QFX5120-48T'],1531.4222168626673
0,0,0,0,0,0,44,0,0,0,cloud,spine,juniper,QFX5230-64CD,['QFX5230-64CD'],42525.74822234694
0,0,0,0,0,0,0,48,0,0,enterprise,spine,juniper,QFX5230-64CD,['QFX5230-64CD'],42525.74822234694
0,0,0,0,0,0,42,4,8,0,ai_gpu,edge,juniper,QFX5241-32OD,['QFX5241-32OD'],42560.63330635309
0,0,0,0,0,0,0,44,12,0,ai_gpu,tor,juniper,QFX5240-64OD,['QFX5240-64OD'],88050.83098941126
0,0,54,0,0,0,0,6,0,0,cloud,leaf,juniper,QFX5130,['QFX5130'],20538.58256133803
0,0,0,0,38,2,0,6,0,0,ai_gpu,edge,juniper,,[],
0,0,0,0,0,30,8,0,0,0,cloud,edge,juniper,QFX5230-64CD,['QFX5230-64CD'],42525.74822234694
0,0,0,0,0,0,48,6,4,0,ai_gpu,edge,juniper,QFX5241-32OD,['QFX5241-32OD'],42560.63330635309
0,0,0,0,0,0,0,24,0,0,cloud,spine,juniper,QFX5130,['QFX5130'],20538.58256133803
0,0,0,0,0,28,14,0,0,0,cloud_50g,edge,juniper,QFX5230-64CD,['QFX5230-64CD'],42525.74822234694
0,0,0,0,12,6,0,0,0,0,cloud_50g,tor,juniper,QFX5200-32C,['QFX5200-32C'],4790.793782282743
0,0,0,0,66,14,6,0,0,0,cloud_50g,leaf,juniper,,[],
0,0,0,0,0,60,4,16,0,0,cloud,tor,juniper,QFX5230-64CD,['QFX5230-64CD'],42525.74822234694
0,0,0,0,0,0,0,40,38,0,ai_gpu,tor,juniper,QFX5240-64OD,['QFX5240-64OD'],88050.83098941126
0,42,6,0,0,4,0,0,0,0,enterprise,tor,juniper,QFX5200-48Y,['QFX5200-48Y'],2618.4008323672333
0,0,34,0,0,10,0,0,0,0,enterprise,edge,juniper,QFX5200-32C,['QFX5200-32C'],4790.793782282743
0,0,0,0,0,0,0,32,0,0,ai_gpu,spine,juniper,QFX5130,['QFX5130'],20538.58256133803
0,0,0,0,0,0,0,54,8,0,cloud,tor,juniper,QFX5240-64OD,['QFX5240-64OD'],88050.83098941126
0,0,0,0,0,0,38,0,6,0,cloud,leaf,juniper,QFX5241-32OD,['QFX5241-32OD'],42560.63330635309
0,0,0,0,0,128,0,0,0,0,cloud_50g,spine,juniper,QFX5130,['QFX5130'],20538.58256133803
0,0,0,0,0,0,0,0,10,0,ai_gpu,leaf,juniper,QFX5241-32OD,['QFX5241-32OD'],42560.63330635309
0,0,0,0,24,6,0,0,0,0,cloud_50g,tor,juniper,QFX5200-32C,['QFX5200-32C'],4790.793782282743
0,0,0,0,0,52,6,10,0,0,cloud,tor,juniper,QFX5230-64CD,['QFX5230-64CD'],42525.74822234694
0,0,0,0,0,0,0,16,0,0,ai_gpu,leaf,juniper,QFX5130,['QFX5130'],20538.58256133803
0,0,0,0,64,0,16,0,0,0,cloud_50g,tor,juniper,,[],
0,0,0,0,0,0,0,0,0,8,ai_gpu,spine,juniper,,[],
0,0,0,0,0,0,0,56,0,0,ai_gpu,leaf,juniper,QFX5230-64CD,['QFX5230-64CD'],42525.74822234694
0,0,0,0,0,24,4,0,0,0,cloud,edge,juniper,QFX5230-64CD,['QFX5230-64CD'],42525.74822234694
0,0,0,0,0,32,0,4,4,0,ai_gpu,edge,juniper,QFX5241-32OD,['QFX5241-32OD'],42560.63330635309
0,0,0,0,0,0,0,48,0,0,enterprise,spine,juniper,QFX5230-64CD,['QFX5230-64CD'],42525.74822234694
0,0,0,0,0,66,0,0,0,0,enterprise,leaf,juniper,QFX5130,['QFX5130'],20538.58256133803
0,0,0,0,0,78,0,0,0,0,enterprise,spine,juniper,QFX5130,['QFX5130'],20538.58256133803
0,0,0,0,36,6,12,0,0,0,cloud_50g,leaf,juniper,,[],
0,0,0,0,0,50,0,0,0,0,cloud,spine,juniper,QFX10002-60C,['QFX10002-60C'],9269.55344760957
0,62,0,0,2,6,0,0,0,0,enterprise,tor,juniper,QFX5200-32C,['QFX5200-32C'],4790.793782282743
0,0,0,0,0,26,10,0,0,0,cloud_50g,edge,juniper,QFX5230-64CD,['QFX5230-64CD'],42525.74822234694
0,0,0,0,14,4,0,0,0,0,cloud_50g,tor,juniper,QFX5200-32C,['QFX5200-32C'],4790.793782282743
0,0,0,0,0,0,60,28,0,0,cloud,leaf,juniper,QFX5230-64CD,['QFX5230-64CD'],42525.74822234694
0,0,52,0,0,0,2,0,0,0,enterprise,leaf,juniper,QFX5230-64CD,['QFX5230-64CD'],42525.74822234694
0,0,0,0,0,0,0,36,22,0,ai_gpu,leaf,juniper,QFX5240-64OD,['QFX5240-64OD'],88050.83098941126
0,0,0,0,0,0,0,40,32,0,ai_gpu,tor,juniper,QFX5240-64OD,['QFX5240-64OD'],88050.83098941126
0,0,0,0,0,0,26,0,0,0,cloud,spine,juniper,QFX5230-64CD,['QFX5230-64CD'],42525.74822234694
0,0,0,46,0,0,0,0,0,0,enterprise,spine,juniper,QFX10002-72Q,['QFX10002-72Q'],4289.059906037728
0,0,0,0,0,0,0,20,0,0,ai_gpu,spine,juniper,QFX5130,['QFX5130'],20538.58256133803
0,60,0,10,0,2,0,0,0,0,enterprise,tor,juniper,QFX5200-32C,['QFX5200-32C'],4790.793782282743
0,0,0,0,0,0,0,34,0,0,ai_gpu,spine,juniper,QFX5230-64CD,['QFX5230-64CD'],42525.74822234694
0,0,0,0,58,24,0,8,0,0,cloud_50g,leaf,juniper,,[],
0,0,0,0,0,80,0,0,0,0,cloud_50g,spine,juniper,QFX5130,['QFX5130'],20538.58256133803
0,0,0,0,0,0,0,28,0,0,cloud,edge,juniper,QFX5130,['QFX5130'],20538.58256133803
0,0,0,0,0,44,22,6,0,0,cloud,tor,juniper,QFX5230-64CD,['QFX5230-64CD'],42525.74822234694
0,62,0,0,0,2,0,0,0,0,enterprise,leaf,juniper,QFX5110-32Q,['QFX5110-32Q'],4790.793782282743
0,0,0,0,0,32,0,10,0,0,ai_gpu,edge,juniper,QFX5130,['QFX5130'],20538.58256133803
0,0,0,0,48,0,14,0,0,0,cloud_50g,edge,juniper,,[],
0,0,0,0,0,26,10,0,0,0,cloud,edge,juniper,QFX5230-64CD,['QFX5230-64CD'],42525.74822234694
0,0,0,0,4,2,0,0,0,0,cloud_50g,edge,juniper,QFX5120-48T,['QFX5120-48T'],1531.4222168626673
0,0,0,0,0,28,6,6,0,0,ai_gpu,tor,juniper,QFX5230-64CD,['QFX5230-64CD'],42525.74822234694
0,0,56,0,0,0,0,2,0,0,enterprise,leaf,juniper,QFX5130,['QFX5130'],20538.58256133803
0,0,0,0,76,16,0,4,0,0,cloud,tor,juniper,,[],
0,0,0,0,18,16,0,0,0,0,cloud_50g,edge,juniper,QFX5200-32C,['QFX5200-32C'],4790.793782282743
0,0,0,0,0,0,0,38,0,0,ai_gpu,spine,juniper,QFX5230-64CD,['QFX5230-64CD'],42525.74822234694
0,0,0,0,0,0,0,32,0,0,ai_gpu,spine,juniper,QFX5130,['QFX5130'],20538.58256133803
0,0,0,0,0,38,0,0,0,0,enterprise,spine,juniper,QFX10002-60C,['QFX10002-60C'],9269.55344760957
0,0,0,0,0,0,0,62,4,0,ai_gpu,tor,juniper,QFX5240-64OD,['QFX5240-64OD'],88050.83098941126
0,0,0,0,0,0,42,18,8,0,cloud,tor,juniper,QFX5241-32OD,['QFX5241-32OD'],42560.63330635309
0,0,0,0,0,0,44,0,0,0,ai_gpu,spine,juniper,QFX5230-64CD,['QFX5230-64CD'],42525.74822234694
