1,10,25,40,50,100,200,400,800,1600,profile,role,vendor,best_module,solution_linecards,solution_cost
0,0,0,0,0,32,0,0,0,0,cloud_50g,spine,nokia,7220 IXR-D3L,['7220 IXR-D3L'],9919.48152
0,0,0,0,0,0,20,8,2,0,ai_gpu,edge,nokia,7220 IXR-H5-32D,['7220 IXR-H5-32D'],88123.0616
0,0,16,0,0,0,0,0,0,0,enterprise,spine,nokia,7220 IXR-D2L,['7220 IXR-D2L'],6119.281517
0,0,0,0,0,0,10,2,0,0,cloud,edge,nokia,7220 IXR-D4,['7220 IXR-D4'],19192.88709
0,0,0,0,0,0,0,40,0,0,cloud,spine,nokia,7220 IXR-H5-32D,['7220 IXR-H5-32D'],88123.0616
0,0,0,0,0,50,0,0,0,0,cloud,leaf,nokia,7250 IXR-X1b,['7250 IXR-X1b'],23242.38103
0,0,0,0,66,6,0,4,0,0,cloud,tor,nokia,7220 IXR-H2,['7220 IXR-H2'],42525.74822
0,32,0,0,0,4,0,0,0,0,enterprise,leaf,nokia,7220 IXR-D2L,['7220 IXR-D2L'],6119.281517
0,0,0,0,0,46,0,8,0,0,ai_gpu,edge,nokia,7220 IXR-H2,['7220 IXR-H2'],42525.74822
0,0,0,0,0,30,0,0,0,0,cloud,spine,nokia,7220 IXR-D3L,['7220 IXR-D3L'],9919.48152
0,0,0,0,30,0,8,0,0,0,cloud,leaf,nokia,7220 IXR-D4,['7220 IXR-D4'],19192.88709
0,0,22,0,0,2,0,2,0,0,enterprise,tor,nokia,7220 IXR-D4,['7220 IXR-D4'],19192.88709
0,0,0,0,0,16,0,6,0,0,cloud,leaf,nokia,7220 IXR-D4,['7220 IXR-D4'],19192.88709
0,0,0,0,0,0,66,0,12,0,ai_gpu,leaf,nokia,7220 IXR-H5-32D,['7220 IXR-H5-32D'],88123.0616
0,0,0,0,0,0,0,58,0,0,ai_gpu,spine,nokia,7220 IXR-H5-32D,['7220 IXR-H5-32D'],88123.0616
0,0,0,0,0,0,0,50,0,0,ai_gpu,spine,nokia,7220 IXR-H5-32D,['7220 IXR-H5-32D'],88123.0616
0,0,0,0,0,30,0,10,0,0,ai_gpu,edge,nokia,7250 IXR-X1b,['7250 IXR-X1b'],23242.38103
0,0,0,0,0,44,0,6,4,0,ai_gpu,edge,nokia,7220 IXR-H5-32D,['7220 IXR-H5-32D'],88123.0616
0,0,0,0,0,0,0,28,6,0,cloud,edge,nokia,7220 IXR-H5-32D,['7220 IXR-H5-32D'],88123.0616
0,0,0,0,26,0,6,0,0,0,cloud_50g,edge,nokia,7220 IXR-D4,['7220 IXR-D4'],19192.88709
0,0,0,0,0,48,0,14,0,0,cloud,tor,nokia,7220 IXR-H2,['7220 IXR-H2'],42525.74822
0,0,72,0,0,4,0,2,0,0,enterprise,tor,nokia,7250 IXR-X1b,['7250 IXR-X1b'],23242.38103
0,0,0,0,12,2,0,0,0,0,enterprise,leaf,nokia,7220 IXR-D2L,['7220 IXR-D2L'],6119.281517
0,0,0,0,0,0,0,0,8,0,ai_gpu,spine,nokia,7220 IXR-H5-32D,['7220 IXR-H5-32D'],88123.0616
0,0,0,0,2,2,0,0,0,0,enterprise,edge,nokia,7220 IXR-D2L,['7220 IXR-D2L'],6119.281517
0,0,0,0,0,0,44,0,0,0,cloud,spine,nokia,7220 IXR-H2,['7220 IXR-H2'],42525.74822
0,0,0,0,0,0,0,48,0,0,enterprise,spine,nokia,7220 IXR-H5-32D,['7220 IXR-H5-32D'],88123.0616
0,0,0,0,0,0,42,4,8,0,ai_gpu,edge,nokia,7220 IXR-H5-32D,['7220 IXR-H5-32D'],88123.0616
0,0,0,0,0,0,0,44,12,0,ai_gpu,tor,nokia,7220 IXR-H5-64D,['7220 IXR-H5-64D'],88123.0616
0,0,54,0,0,0,0,6,0,0,cloud,leaf,nokia,7250 IXR-X1b,['7250 IXR-X1b'],23242.38103
0,0,0,0,38,2,0,6,0,0,ai_gpu,edge,nokia,7220 IXR-H2,['7220 IXR-H2'],42525.74822
0,0,0,0,0,30,8,0,0,0,cloud,edge,nokia,7220 IXR-D4,['7220 IXR-D4'],19192.88709
0,0,0,0,0,0,48,6,4,0,ai_gpu,edge,nokia,7220 IXR-H5-32D,['7220 IXR-H5-32D'],88123.0616
0,0,0,0,0,0,0,24,0,0,cloud,spine,nokia,7220 IXR-H2,['7220 IXR-H2'],42525.74822
0,0,0,0,0,28,14,0,0,0,cloud_50g,edge,nokia,7220 IXR-H2,['7220 IXR-H2'],42525.74822
0,0,0,0,12,6,0,0,0,0,cloud_50g,tor,nokia,7220 IXR-D3L,['7220 IXR-D3L'],9919.48152
0,0,0,0,66,14,6,0,0,0,cloud_50g,leaf,nokia,7220 IXR-H2,['7220 IXR-H2'],42525.74822
0,0,0,0,0,60,4,16,0,0,cloud,tor,nokia,7220 IXR-H5-32D,['7220 IXR-H5-32D'],88123.0616
0,0,0,0,0,0,0,40,38,0,ai_gpu,tor,nokia,7220 IXR-H5-64D,['7220 IXR-H5-64D'],88123.0616
0,42,6,0,0,4,0,0,0,0,enterprise,tor,nokia,7220 IXR-D2L,['7220 IXR-D2L'],6119.281517
0,0,34,0,0,10,0,0,0,0,enterprise,edge,nokia,7220 IXR-D3L,['7220 IXR-D3L'],9919.48152
0,0,0,0,0,0,0,32,0,0,ai_gpu,spine,nokia,7220 IXR-H2,['7220 IXR-H2'],42525.74822
0,0,0,0,0,0,0,54,8,0,cloud,tor,nokia,7220 IXR-H5-64D,['7220 IXR-H5-64D'],88123.0616
0,0,0,0,0,0,38,0,6,0,cloud,leaf,nokia,7220 IXR-H5-32D,['7220 IXR-H5-32D'],88123.0616
0,0,0,0,0,128,0,0,0,0,cloud_50g,spine,nokia,7220 IXR-H2,['7220 IXR-H2'],42525.74822
0,0,0,0,0,0,0,0,10,0,ai_gpu,leaf,nokia,7220 IXR-H5-32D,['7220 IXR-H5-32D'],88123.0616
0,0,0,0,24,6,0,0,0,0,cloud_50g,tor,nokia,7220 IXR-D3L,['7220 IXR-D3L'],9919.48152
0,0,0,0,0,52,6,10,0,0,cloud,tor,nokia,7220 IXR-H2,['7220 IXR-H2'],42525.74822
0,0,0,0,0,0,0,16,0,0,ai_gpu,leaf,nokia,7220 IXR-H2,['7220 IXR-H2'],42525.74822
0,0,0,0,64,0,16,0,0,0,cloud_50g,tor,nokia,7220 IXR-H2,['7220 IXR-H2'],42525.74822
0,0,0,0,0,0,0,0,0,8,ai_gpu,spine,nokia,,[],
0,0,0,0,0,0,0,56,0,0,ai_gpu,leaf,nokia,7220 IXR-H5-32D,['7220 IXR-H5-32D'],88123.0616
0,0,0,0,0,24,4,0,0,0,cloud,edge,nokia,7220 IXR-D4,['7220 IXR-D4'],19192.88709
0,0,0,0,0,32,0,4,4,0,ai_gpu,edge,nokia,7220 IXR-H5-32D,['7220 IXR-H5-32D'],88123.0616
0,0,0,0,0,0,0,48,0,0,enterprise,spine,nokia,7220 IXR-H5-32D,['7220 IXR-H5-32D'],88123.0616
0,0,0,0,0,66,0,0,0,0,enterprise,leaf,nokia,7250 IXR-X1b,['7250 IXR-X1b'],23242.38103
0,0,0,0,0,78,0,0,0,0,enterprise,spine,nokia,7220 IXR-H2,['7220 IXR-H2'],42525.74822
0,0,0,0,36,6,12,0,0,0,cloud_50g,leaf,nokia,7220 IXR-H2,['7220 IXR-H2'],42525.74822
0,0,0,0,0,50,0,0,0,0,cloud,spine,nokia,7250 IXR-X1b,['7250 IXR-X1b'],23242.38103
0,62,0,0,2,6,0,0,0,0,enterprise,tor,nokia,7220 IXR-D3L,['7220 IXR-D3L'],9919.48152
0,0,0,0,0,26,10,0,0,0,cloud_50g,edge,nokia,7220 IXR-D4,['7220 IXR-D4'],19192.88709
0,0,0,0,14,4,0,0,0,0,cloud_50g,tor,nokia,7220 IXR-D3L,['7220 IXR-D3L'],9919.48152
0,0,0,0,0,0,60,28,0,0,cloud,leaf,nokia,7220 IXR-H5-32D,['7220 IXR-H5-32D'],88123.0616
